# h [m]         T [K]           p [Pa]          rho [kg/m3]
0		288.15		101325		1.225
500		284.9		95460.8		1.16727
1000		281.65		89874.6		1.11164
1500		278.4		84556		1.05807
2000		275.15		79495.2		1.00649
2500		271.9		74682.5		0.956859
3000		268.65		70108.5		0.909122
3500		265.4		65764.1		0.863229
4000		262.15		61640.2		0.819129
4500		258.9		57728.3		0.776775
5000		255.65		54019.9		0.736116
5500		252.4		50506.8		0.697106
6000		249.15		47181		0.659697
6500		245.9		44034.8		0.623844
7000		242.65		41060.7		0.589501
7500		239.4		38251.4		0.556624
8000		236.15		35599.8		0.525168
8500		232.9		33099		0.49509
9000		229.65		30742.5		0.466348
9500		226.4		28523.6		0.438901
10000		223.15		26436.3		0.412707
10500		219.9		24474.4		0.387725
11000		216.65		22632.1		0.363918
11500		216.65		20916.2		0.336327
12000		216.65		19330.4		0.310828
12500		216.65		17864.8		0.287262
13000		216.65		16510.4		0.265483
13500		216.65		15258.7		0.245355
14000		216.65		14101.8		0.226753
14500		216.65		13032.7		0.209562
15000		216.65		12044.6		0.193674
15500		216.65		11131.4		0.17899
16000		216.65		10287.5		0.16542
16500		216.65		9507.5		0.152878
17000		216.65		8786.68		0.141288
17500		216.65		8120.51		0.130576
18000		216.65		7504.84		0.120676
18500		216.65		6935.86		0.111527
19000		216.65		6410.01		0.103071
19500		216.65		5924.03		0.0952569
20000		216.65		5474.89		0.0880349
20500		217.15		5060.26		0.0811804
21000		217.65		4677.89		0.0748737
21500		218.15		4325.18		0.0690697
22000		218.65		3999.79		0.0637273
22500		219.15		3699.54		0.0588091
23000		219.65		3422.43		0.0542803
23500		220.15		3166.65		0.0501094
24000		220.65		2930.49		0.0462674
24500		221.15		2712.42		0.0427276
25000		221.65		2511.02		0.0394658
25500		222.15		2324.98		0.0364595
26000		222.65		2153.09		0.0336882
26500		223.15		1994.26		0.0311331
27000		223.65		1847.46		0.0287769
27500		224.15		1711.75		0.0266036
28000		224.65		1586.29		0.0245988
28500		225.15		1470.27		0.022749
29000		225.65		1362.96		0.021042
29500		226.15		1263.7		0.0194664
30000		226.65		1171.87		0.0180119
30500		227.15		1086.88		0.016669
31000		227.65		1008.23		0.0154288
31500		228.15		935.425		0.0142832
32000		228.65		868.019		0.013225
32500		230.05		805.719		0.0122011
33000		231.45		748.228		0.011262
33500		232.85		695.15		0.0104002
34000		234.25		646.122		0.00960889
34500		235.65		600.814		0.008882
35000		237.05		558.924		0.00821392
35500		238.45		520.175		0.00759959
36000		239.85		484.317		0.00703441
36500		241.25		451.118		0.00651419
37000		242.65		420.367		0.00603513
37500		244.05		391.872		0.00559375
38000		245.45		365.455		0.00518691
38500		246.85		340.954		0.00481172
39000		248.25		318.22		0.00446557
39500		249.65		297.118		0.00414606
40000		251.05		277.522		0.00385101
40500		252.45		259.316		0.00357842
41000		253.85		242.395		0.00332648
41500		255.25		226.663		0.00309352
42000		256.65		212.03		0.00287802
42500		258.05		198.413		0.00267858
43000		259.45		185.738		0.00249393
43500		260.85		173.934		0.00232291
44000		262.25		162.937		0.00216443
44500		263.65		152.689		0.00201752
45000		265.05		143.135		0.00188129
45500		266.45		134.224		0.0017549
46000		267.85		125.91		0.0016376
46500		269.25		118.151		0.00152869
47000		270.65		110.906		0.00142753
